frame,points,total,diff
1,53,53,0
2,53,53,0
3,50,53,3
4,50,53,3
5,48,53,5
6,45,53,8
7,40,53,13
8,34,53,19
9,39,53,14
10,40,53,13
11,38,53,15
12,37,53,16
13,34,53,19
14,35,53,18
15,36,53,17
16,35,53,18
17,35,53,18
18,37,53,16
19,38,53,15
20,37,53,16
21,37,53,16
22,38,53,15
23,38,53,15
24,38,53,15
25,38,53,15
26,40,53,13
27,40,53,13
28,40,53,13
29,41,53,12
30,41,53,12
31,41,53,12
32,42,53,11
33,43,53,10
34,43,53,10
35,43,53,10
36,45,53,8
37,48,53,5
38,48,53,5
39,48,53,5
40,46,53,7
41,48,53,5
42,47,53,6
43,46,53,7
44,48,53,5
45,49,53,4
46,48,53,5
47,48,53,5
48,49,53,4
49,49,53,4
50,47,53,6
51,49,53,4
52,48,53,5
53,47,53,6
54,47,53,6
55,47,53,6
56,46,53,7
57,48,53,5
58,47,53,6
59,48,53,5
60,48,53,5
61,47,53,6
62,47,53,6
63,45,53,8
64,48,53,5
65,46,53,7
66,46,53,7
67,44,53,9
68,48,53,5
69,48,53,5
70,47,53,6
71,47,53,6
72,49,53,4
73,46,53,7
74,48,53,5
75,48,53,5
76,50,53,3
77,49,53,4
78,50,53,3
79,53,53,0
80,52,53,1
81,51,53,2
82,51,53,2
83,50,53,3
84,51,53,2
85,52,53,1
86,50,53,3
87,51,53,2
88,50,53,3
89,49,53,4
90,51,53,2
91,52,53,1
92,52,53,1
93,50,53,3
94,51,53,2
95,52,53,1
96,51,53,2
97,50,53,3
98,49,53,4
99,51,53,2
100,51,53,2
101,51,53,2
102,51,53,2
103,51,53,2
104,50,53,3
105,51,53,2
106,49,53,4
107,49,53,4
108,49,53,4
109,46,53,7
110,45,53,8
111,44,53,9
112,48,53,5
113,47,53,6
114,42,53,11
115,44,53,9
116,45,53,8
117,47,53,6
118,45,53,8
119,48,53,5
120,46,53,7
121,48,53,5
122,47,53,6
123,49,53,4
124,47,53,6
125,47,53,6
126,45,53,8
127,47,53,6
128,49,53,4
129,48,53,5
130,47,53,6
131,45,53,8
132,42,53,11
133,41,53,12
134,48,53,5
135,46,53,7
136,50,53,3
137,48,53,5
138,48,53,5
139,46,53,7
140,46,53,7
141,44,53,9
142,44,53,9
143,46,53,7
144,45,53,8
145,46,53,7
146,48,53,5
147,47,53,6
148,49,53,4
149,47,53,6
150,46,53,7
151,47,53,6
152,45,53,8
153,46,53,7
154,45,53,8
155,45,53,8
156,47,53,6
157,44,53,9
158,47,53,6
159,47,53,6
160,48,53,5
161,49,53,4
162,48,53,5
163,51,53,2
164,47,53,6
165,47,53,6
166,46,53,7
167,44,53,9
168,43,53,10
169,43,53,10
170,45,53,8
171,45,53,8
172,44,53,9
173,46,53,7
174,45,53,8
175,44,53,9
176,46,53,7
177,46,53,7
178,46,53,7
179,47,53,6
180,46,53,7
181,44,53,9
182,46,53,7
183,45,53,8
184,45,53,8
185,42,53,11
186,45,53,8
187,47,53,6
188,45,53,8
189,45,53,8
190,46,53,7
191,47,53,6
192,45,53,8
193,45,53,8
194,45,53,8
195,44,53,9
196,45,53,8
197,47,53,6
198,47,53,6
199,47,53,6
200,48,53,5
201,46,53,7
202,46,53,7
203,46,53,7
204,44,53,9
205,45,53,8
206,43,53,10
207,44,53,9
208,44,53,9
209,46,53,7
210,46,53,7
211,47,53,6
212,46,53,7
213,46,53,7
214,46,53,7
215,45,53,8
216,47,53,6
217,46,53,7
218,46,53,7
219,43,53,10
220,46,53,7
221,45,53,8
222,47,53,6
223,45,53,8
224,45,53,8
225,44,53,9
226,43,53,10
227,47,53,6
228,49,53,4
229,46,53,7
230,46,53,7
231,46,53,7
232,47,53,6
233,46,53,7
234,47,53,6
235,48,53,5
236,48,53,5
237,48,53,5
238,47,53,6
239,45,53,8
240,46,53,7
241,47,53,6
242,46,53,7
243,46,53,7
244,48,53,5
245,48,53,5
246,48,53,5
247,48,53,5
248,46,53,7
249,48,53,5
250,47,53,6
251,46,53,7
252,47,53,6
253,47,53,6
254,47,53,6
255,47,53,6
256,46,53,7
257,46,53,7
258,44,53,9
259,43,53,10
260,44,53,9
261,45,53,8
262,45,53,8
263,45,53,8
264,44,53,9
265,45,53,8
266,44,53,9
267,47,53,6
268,46,53,7
269,47,53,6
270,44,53,9
271,43,53,10
272,44,53,9
273,46,53,7
274,47,53,6
275,44,53,9
276,44,53,9
277,47,53,6
278,45,53,8
279,45,53,8
280,43,53,10
281,45,53,8
282,45,53,8
283,45,53,8
284,45,53,8
285,44,53,9
286,47,53,6
287,46,53,7
288,46,53,7
289,47,53,6
290,46,53,7
291,47,53,6
292,47,53,6
293,49,53,4
294,49,53,4
295,49,53,4
296,49,53,4
297,51,53,2
298,50,53,3
299,48,53,5
300,50,53,3
301,49,53,4
302,49,53,4
303,48,53,5
304,46,53,7
305,48,53,5
306,47,53,6
307,45,53,8
308,45,53,8
309,47,53,6
310,46,53,7
311,47,53,6
312,46,53,7
313,48,53,5
314,46,53,7
315,48,53,5
316,47,53,6
317,45,53,8
318,45,53,8
319,47,53,6
320,46,53,7
321,45,53,8
322,47,53,6
323,46,53,7
324,46,53,7
325,46,53,7
326,47,53,6
327,48,53,5
328,46,53,7
329,46,53,7
330,45,53,8
331,45,53,8
332,44,53,9
333,45,53,8
334,45,53,8
335,45,53,8
336,47,53,6
337,47,53,6
338,47,53,6
339,48,53,5
340,48,53,5
341,48,53,5
342,48,53,5
343,47,53,6
344,48,53,5
345,46,53,7
346,48,53,5
347,48,53,5
348,48,53,5
349,49,53,4
350,47,53,6
351,46,53,7
352,46,53,7
353,47,53,6
354,47,53,6
355,47,53,6
356,45,53,8
357,48,53,5
358,47,53,6
359,47,53,6
360,46,53,7
361,47,53,6
362,46,53,7
363,44,53,9
364,43,53,10
365,41,53,12
366,39,53,14
367,40,53,13
368,39,53,14
369,40,53,13
370,40,53,13
371,41,53,12
372,40,53,13
373,40,53,13
374,41,53,12
375,40,53,13
376,40,53,13
377,42,53,11
378,41,53,12
379,41,53,12
380,40,53,13
381,36,53,17
382,36,53,17
383,37,53,16
384,36,53,17
385,38,53,15
386,37,53,16
387,35,53,18
388,36,53,17
389,35,53,18
390,35,53,18
391,34,53,19
392,36,53,17
393,36,53,17
394,36,53,17
395,37,53,16
396,36,53,17
397,37,53,16
398,36,53,17
399,37,53,16
400,38,53,15
401,36,53,17
402,38,53,15
403,35,53,18
404,36,53,17
405,33,53,20
406,35,53,18
407,36,53,17
408,36,53,17
409,36,53,17
410,39,53,14
411,39,53,14
412,38,53,15
413,40,53,13
414,40,53,13
415,40,53,13
416,41,53,12
417,41,53,12
418,37,53,16
419,39,53,14
420,40,53,13
421,42,53,11
422,40,53,13
423,40,53,13
424,39,53,14
425,42,53,11
426,41,53,12
427,42,53,11
428,39,53,14
429,41,53,12
430,42,53,11
431,42,53,11
432,42,53,11
433,40,53,13
434,40,53,13
435,40,53,13
436,41,53,12
437,41,53,12
438,40,53,13
439,41,53,12
440,40,53,13
441,43,53,10
442,41,53,12
443,42,53,11
444,41,53,12
445,41,53,12
446,41,53,12
447,42,53,11
448,39,53,14
449,40,53,13
450,37,53,16
451,39,53,14
452,39,53,14
453,36,53,17
454,35,53,18
455,34,53,19
456,36,53,17
457,38,53,15
458,37,53,16
459,39,53,14
460,37,53,16
461,37,53,16
462,37,53,16
463,39,53,14
464,39,53,14
465,36,53,17
466,35,53,18
467,35,53,18
468,32,53,21
469,30,53,23
470,33,53,20
471,32,53,21
472,33,53,20
473,33,53,20
474,32,53,21
475,35,53,18
476,34,53,19
477,35,53,18
478,35,53,18
479,36,53,17
480,35,53,18
481,34,53,19
482,34,53,19
483,32,53,21
484,34,53,19
485,32,53,21
486,33,53,20
487,30,53,23
488,32,53,21
489,34,53,19
490,33,53,20
491,34,53,19
492,34,53,19
493,35,53,18
494,35,53,18
495,36,53,17
496,36,53,17
497,36,53,17
498,37,53,16
499,38,53,15
500,39,53,14
501,36,53,17
502,37,53,16
503,39,53,14
504,37,53,16
505,36,53,17
506,38,53,15
507,38,53,15
508,40,53,13
509,40,53,13
510,42,53,11
511,40,53,13
512,42,53,11
513,42,53,11
514,42,53,11
515,42,53,11
516,40,53,13
517,42,53,11
518,42,53,11
519,44,53,9
520,45,53,8
521,42,53,11
522,43,53,10
523,44,53,9
524,44,53,9
525,44,53,9
526,43,53,10
527,42,53,11
528,40,53,13
529,42,53,11
530,45,53,8
531,42,53,11
532,42,53,11
533,44,53,9
534,44,53,9
535,42,53,11
536,42,53,11
537,41,53,12
538,42,53,11
539,41,53,12
540,42,53,11
541,42,53,11
542,40,53,13
543,39,53,14
544,39,53,14
545,39,53,14
546,42,53,11
547,40,53,13
548,43,53,10
549,41,53,12
550,43,53,10
551,42,53,11
552,45,53,8
553,41,53,12
554,44,53,9
555,42,53,11
556,45,53,8
557,41,53,12
558,43,53,10
559,45,53,8
560,42,53,11
561,44,53,9
562,43,53,10
563,45,53,8
564,45,53,8
565,44,53,9
566,44,53,9
567,45,53,8
568,44,53,9
569,44,53,9
570,45,53,8
571,44,53,9
572,45,53,8
573,45,53,8
574,45,53,8
575,44,53,9
576,46,53,7
577,42,53,11
578,42,53,11
579,40,53,13
580,44,53,9
581,44,53,9
582,44,53,9
583,44,53,9
584,45,53,8
585,46,53,7
586,45,53,8
587,45,53,8
588,43,53,10
589,44,53,9
590,43,53,10
591,43,53,10
592,41,53,12
593,42,53,11
594,41,53,12
595,45,53,8
596,44,53,9
597,43,53,10
598,43,53,10
599,40,53,13
600,39,53,14
601,40,53,13
602,37,53,16
603,37,53,16
604,39,53,14
605,39,53,14
606,37,53,16
607,36,53,17
608,38,53,15
609,37,53,16
610,37,53,16
611,38,53,15
612,40,53,13
613,38,53,15
614,41,53,12
615,38,53,15
616,38,53,15
617,36,53,17
618,39,53,14
619,34,53,19
620,37,53,16
621,35,53,18
622,36,53,17
623,34,53,19
624,36,53,17
625,36,53,17
626,36,53,17
627,33,53,20
628,33,53,20
629,30,53,23
630,27,53,26
631,28,53,25
632,29,53,24
633,28,53,25
634,30,53,23
635,29,53,24
636,31,53,22
637,33,53,20
638,35,53,18
639,34,53,19
640,36,53,17
641,36,53,17
642,37,53,16
643,37,53,16
644,34,53,19
645,35,53,18
646,36,53,17
647,37,53,16
648,36,53,17
649,34,53,19
650,37,53,16
651,36,53,17
652,35,53,18
653,37,53,16
654,34,53,19
655,36,53,17
656,33,53,20
657,32,53,21
658,35,53,18
659,33,53,20
660,33,53,20
661,32,53,21
662,31,53,22
663,31,53,22
664,29,53,24
665,30,53,23
666,30,53,23
667,30,53,23
668,33,53,20
669,33,53,20
670,32,53,21
671,32,53,21
672,33,53,20
673,33,53,20
674,33,53,20
675,33,53,20
676,32,53,21
677,31,53,22
678,32,53,21
679,33,53,20
680,33,53,20
681,34,53,19
682,35,53,18
683,36,53,17
684,34,53,19
685,35,53,18
686,37,53,16
687,35,53,18
688,35,53,18
689,36,53,17
690,38,53,15
691,37,53,16
692,37,53,16
693,39,53,14
694,39,53,14
695,39,53,14
696,36,53,17
697,39,53,14
698,39,53,14
699,37,53,16
700,36,53,17
701,36,53,17
702,36,53,17
703,38,53,15
704,37,53,16
705,36,53,17
706,37,53,16
707,39,53,14
708,37,53,16
709,37,53,16
710,38,53,15
711,39,53,14
712,38,53,15
713,38,53,15
714,38,53,15
715,37,53,16
716,36,53,17
717,38,53,15
718,38,53,15
719,39,53,14
720,37,53,16
721,36,53,17
722,37,53,16
723,39,53,14
724,38,53,15
725,37,53,16
726,37,53,16
727,38,53,15
728,35,53,18
729,37,53,16
730,37,53,16
731,37,53,16
732,39,53,14
733,38,53,15
734,39,53,14
735,40,53,13
736,40,53,13
737,39,53,14
738,40,53,13
739,38,53,15
740,39,53,14
741,39,53,14
742,38,53,15
743,36,53,17
744,35,53,18
745,36,53,17
746,39,53,14
747,36,53,17
748,34,53,19
749,37,53,16
750,37,53,16
751,38,53,15
752,37,53,16
753,38,53,15
754,38,53,15
755,38,53,15
756,39,53,14
757,39,53,14
758,38,53,15
759,38,53,15
760,39,53,14
761,39,53,14
762,38,53,15
763,39,53,14
764,39,53,14
765,37,53,16
766,37,53,16
767,39,53,14
768,39,53,14
769,38,53,15
770,36,53,17
771,38,53,15
772,37,53,16
773,37,53,16
774,37,53,16
775,37,53,16
776,38,53,15
777,38,53,15
778,38,53,15
779,38,53,15
780,39,53,14
781,40,53,13
782,40,53,13
783,39,53,14
784,39,53,14
785,38,53,15
786,38,53,15
787,39,53,14
788,36,53,17
789,36,53,17
790,37,53,16
791,35,53,18
792,36,53,17
793,35,53,18
794,36,53,17
795,37,53,16
796,35,53,18
797,36,53,17
798,35,53,18
799,36,53,17
800,36,53,17
801,35,53,18
802,38,53,15
803,38,53,15
804,38,53,15
805,39,53,14
806,39,53,14
807,39,53,14
808,38,53,15
809,37,53,16
810,34,53,19
811,38,53,15
812,38,53,15
813,35,53,18
814,36,53,17
815,36,53,17
816,38,53,15
817,38,53,15
818,37,53,16
819,39,53,14
820,38,53,15
821,37,53,16
822,36,53,17
823,36,53,17
824,37,53,16
825,38,53,15
826,38,53,15
827,38,53,15
828,36,53,17
829,41,53,12
830,40,53,13
831,40,53,13
832,39,53,14
833,40,53,13
834,40,53,13
835,40,53,13
836,40,53,13
837,41,53,12
838,39,53,14
839,39,53,14
840,39,53,14
841,39,53,14
842,38,53,15
843,37,53,16
844,37,53,16
845,36,53,17
846,36,53,17
847,35,53,18
848,36,53,17
849,38,53,15
850,36,53,17
851,35,53,18
852,36,53,17
853,37,53,16
854,37,53,16
855,37,53,16
856,38,53,15
857,39,53,14
858,39,53,14
859,39,53,14
860,39,53,14
861,39,53,14
862,39,53,14
863,37,53,16
864,37,53,16
865,38,53,15
866,38,53,15
867,39,53,14
868,39,53,14
869,37,53,16
870,37,53,16
871,37,53,16
872,37,53,16
873,40,53,13
874,40,53,13
875,40,53,13
876,40,53,13
877,40,53,13
878,40,53,13
879,40,53,13
880,40,53,13
881,39,53,14
882,40,53,13
883,39,53,14
884,40,53,13
885,39,53,14
886,40,53,13
887,40,53,13
888,40,53,13
889,40,53,13
890,40,53,13
891,40,53,13
892,40,53,13
893,40,53,13
894,40,53,13
895,39,53,14
896,38,53,15
897,38,53,15
898,37,53,16
899,36,53,17
900,37,53,16
901,37,53,16
902,37,53,16
903,36,53,17
904,35,53,18
905,35,53,18
906,33,53,20
907,36,53,17
908,37,53,16
909,38,53,15
910,38,53,15
911,37,53,16
912,38,53,15
913,35,53,18
914,34,53,19
915,36,53,17
916,37,53,16
917,38,53,15
918,39,53,14
919,39,53,14
920,37,53,16
921,37,53,16
922,36,53,17
923,33,53,20
924,38,53,15
925,39,53,14
926,39,53,14
927,37,53,16
928,37,53,16
929,39,53,14
930,36,53,17
931,36,53,17
932,37,53,16
933,38,53,15
934,37,53,16
935,38,53,15
936,40,53,13
937,39,53,14
938,38,53,15
939,36,53,17
940,39,53,14
941,38,53,15
942,38,53,15
943,39,53,14
944,37,53,16
945,39,53,14
946,39,53,14
947,39,53,14
948,37,53,16
949,39,53,14
950,39,53,14
951,38,53,15
952,39,53,14
953,39,53,14
954,39,53,14
955,38,53,15
956,39,53,14
957,38,53,15
958,39,53,14
959,36,53,17
960,37,53,16
961,35,53,18
962,37,53,16
963,37,53,16
964,37,53,16
965,36,53,17
966,36,53,17
967,37,53,16
968,38,53,15
969,38,53,15
970,39,53,14
971,39,53,14
972,39,53,14
973,38,53,15
974,38,53,15
975,39,53,14
976,39,53,14
977,39,53,14
978,39,53,14
979,39,53,14
980,37,53,16
981,36,53,17
982,37,53,16
983,38,53,15
984,37,53,16
985,38,53,15
986,38,53,15
987,37,53,16
988,37,53,16
989,36,53,17
990,35,53,18
991,36,53,17
992,37,53,16
993,39,53,14
994,38,53,15
995,39,53,14
996,39,53,14
997,38,53,15
998,39,53,14
999,39,53,14
1000,39,53,14
1001,40,53,13
1002,39,53,14
1003,37,53,16
1004,38,53,15
1005,36,53,17
1006,38,53,15
1007,37,53,16
1008,37,53,16
1009,38,53,15
1010,38,53,15
1011,38,53,15
1012,38,53,15
1013,39,53,14
1014,39,53,14
1015,40,53,13
1016,40,53,13
1017,39,53,14
1018,40,53,13
1019,40,53,13
1020,40,53,13
1021,40,53,13
1022,39,53,14
1023,40,53,13
1024,40,53,13
1025,41,53,12
1026,40,53,13
1027,41,53,12
1028,41,53,12
1029,40,53,13
1030,39,53,14
1031,39,53,14
1032,40,53,13
1033,41,53,12
1034,41,53,12
1035,40,53,13
1036,40,53,13
1037,40,53,13
1038,39,53,14
1039,40,53,13
1040,40,53,13
1041,38,53,15
1042,38,53,15
1043,38,53,15
1044,39,53,14
1045,35,53,18
1046,36,53,17
1047,35,53,18
1048,36,53,17
1049,37,53,16
1050,39,53,14
1051,39,53,14
1052,38,53,15
1053,38,53,15
1054,39,53,14
1055,38,53,15
1056,39,53,14
1057,38,53,15
1058,39,53,14
1059,38,53,15
1060,38,53,15
1061,37,53,16
1062,37,53,16
1063,36,53,17
1064,35,53,18
1065,37,53,16
1066,38,53,15
1067,36,53,17
1068,36,53,17
1069,37,53,16
1070,35,53,18
1071,37,53,16
1072,39,53,14
1073,34,53,19
1074,37,53,16
1075,36,53,17
1076,36,53,17
1077,36,53,17
1078,38,53,15
1079,37,53,16
1080,36,53,17
1081,36,53,17
1082,35,53,18
