frame,points,total,diff
1,49,49,0
2,49,49,0
3,49,49,0
4,49,49,0
5,49,49,0
6,49,49,0
7,49,49,0
8,4,49,45
9,31,36,5
10,32,36,4
11,31,36,5
12,32,36,4
13,32,36,4
14,32,36,4
15,32,36,4
16,32,36,4
17,32,36,4
18,32,36,4
19,33,36,3
20,32,36,4
21,33,36,3
22,32,36,4
23,32,36,4
24,0,36,36
25,0,11,11
26,0,24,24
27,3,37,34
28,47,47,0
29,46,47,1
30,47,47,0
31,47,47,0
32,47,47,0
33,47,47,0
34,47,47,0
35,47,47,0
36,47,47,0
37,47,47,0
38,47,47,0
39,47,47,0
40,47,47,0
41,9,47,38
42,0,33,33
43,37,39,2
44,38,39,1
45,38,39,1
46,37,39,2
47,37,39,2
48,37,39,2
49,37,39,2
50,37,39,2
51,37,39,2
52,37,39,2
53,37,39,2
54,37,39,2
55,37,39,2
56,37,39,2
57,37,39,2
58,37,39,2
59,0,39,39
60,0,9,9
61,1,12,11
62,5,16,11
63,47,48,1
64,47,48,1
65,47,48,1
66,47,48,1
67,47,48,1
68,47,48,1
69,47,48,1
70,47,48,1
71,47,48,1
72,47,48,1
73,47,48,1
74,47,48,1
75,47,48,1
76,47,48,1
77,47,48,1
78,0,48,48
79,0,16,16
80,2,29,27
81,43,43,0
82,42,43,1
83,42,43,1
84,42,43,1
85,42,43,1
86,42,43,1
87,42,43,1
88,42,43,1
89,42,43,1
90,42,43,1
91,42,43,1
92,42,43,1
93,0,43,43
94,0,16,16
95,0,16,16
96,2,37,35
97,46,47,1
98,47,47,0
99,47,47,0
100,47,47,0
101,47,47,0
102,47,47,0
103,47,47,0
104,47,47,0
105,47,47,0
106,47,47,0
107,0,47,47
108,0,15,15
109,3,10,7
110,10,20,10
111,45,48,3
112,40,48,8
113,41,48,7
114,46,48,2
115,46,48,2
116,45,48,3
117,46,48,2
118,46,48,2
119,45,48,3
120,45,48,3
121,0,48,48
122,0,15,15
123,0,23,23
124,3,38,35
125,44,45,1
126,44,45,1
127,44,45,1
128,44,45,1
129,44,45,1
130,44,45,1
131,44,45,1
132,44,45,1
133,44,45,1
134,43,45,2
135,3,45,42
