frame,points,total,diff
1,48,49,1
2,48,49,1
3,48,49,1
4,48,49,1
5,49,49,0
6,49,49,0
7,47,49,2
8,1,49,48
9,30,36,6
10,30,36,6
11,30,36,6
12,30,36,6
13,30,36,6
14,30,36,6
15,30,36,6
16,30,36,6
17,30,36,6
18,30,36,6
19,30,36,6
20,30,36,6
21,31,36,5
22,30,36,6
23,30,36,6
24,0,36,36
25,0,11,11
26,0,24,24
27,3,37,34
28,38,47,9
29,43,47,4
30,44,47,3
31,46,47,1
32,46,47,1
33,43,47,4
34,44,47,3
35,45,47,2
36,45,47,2
37,45,47,2
38,45,47,2
39,44,47,3
40,45,47,2
41,4,47,43
42,0,33,33
43,36,39,3
44,37,39,2
45,37,39,2
46,34,39,5
47,33,39,6
48,35,39,4
49,35,39,4
50,34,39,5
51,33,39,6
52,34,39,5
53,33,39,6
54,33,39,6
55,33,39,6
56,34,39,5
57,34,39,5
58,34,39,5
59,0,39,39
60,0,9,9
61,1,12,11
62,5,16,11
63,46,48,2
64,47,48,1
65,47,48,1
66,47,48,1
67,47,48,1
68,46,48,2
69,46,48,2
70,46,48,2
71,46,48,2
72,46,48,2
73,46,48,2
74,46,48,2
75,46,48,2
76,47,48,1
77,46,48,2
78,0,48,48
79,0,16,16
80,1,29,28
81,41,43,2
82,41,43,2
83,41,43,2
84,42,43,1
85,41,43,2
86,41,43,2
87,41,43,2
88,41,43,2
89,41,43,2
90,41,43,2
91,41,43,2
92,41,43,2
93,0,43,43
94,0,16,16
95,0,16,16
96,2,37,35
97,46,47,1
98,47,47,0
99,46,47,1
100,47,47,0
101,46,47,1
102,47,47,0
103,47,47,0
104,47,47,0
105,46,47,1
106,47,47,0
107,0,47,47
108,0,15,15
109,3,10,7
110,10,20,10
111,23,48,25
112,47,48,1
113,46,48,2
114,48,48,0
115,47,48,1
116,48,48,0
117,48,48,0
118,48,48,0
119,48,48,0
120,47,48,1
121,0,48,48
122,0,15,15
123,0,23,23
124,2,38,36
125,41,45,4
126,42,45,3
