frame,points,derivation
0,39,0
1,38,1
2,37,1
3,36,1
4,39,3
5,39,0
6,40,1
7,31,9
8,30,1
9,32,2
10,31,1
11,31,0
12,30,1
13,30,0
14,30,0
15,31,1
16,30,1
17,30,0
18,31,1
19,32,1
20,31,1
21,31,0
22,33,2
23,9,24
24,14,5
25,13,1
26,19,6
27,35,16
28,32,3
29,30,2
30,32,2
31,36,4
32,35,1
33,34,1
34,35,1
35,32,3
36,35,3
37,33,2
38,34,1
39,34,0
40,28,6
41,14,14
42,27,13
43,28,1
44,33,5
45,31,2
46,31,0
47,32,1
48,31,1
49,32,1
50,32,0
51,31,1
52,31,0
53,32,1
54,32,0
55,32,0
56,31,1
57,31,0
58,12,19
59,9,3
60,18,9
61,21,3
62,21,0
63,22,1
64,23,1
65,23,0
66,20,3
67,21,1
68,22,1
69,22,0
70,24,2
71,21,3
72,21,0
73,20,1
74,22,2
75,20,2
76,22,2
77,12,10
78,12,0
79,14,2
80,32,18
81,33,1
82,36,3
83,34,2
84,33,1
85,35,2
86,35,0
87,35,0
88,35,0
89,35,0
90,35,0
91,35,0
92,12,23
93,14,2
94,6,8
95,24,18
96,24,0
97,24,0
98,26,2
99,26,0
100,25,1
101,25,0
102,26,1
103,25,1
104,25,0
105,25,0
106,11,14
107,16,5
108,9,7
109,24,15
110,21,3
111,19,2
112,35,16
113,33,2
114,30,3
115,35,5
116,34,1
117,33,1
118,34,1
119,32,2
120,10,22
121,9,1
122,10,1
123,16,6
124,36,20
125,31,5
126,34,3
127,34,0
128,35,1
129,35,0
130,34,1
131,36,2
132,33,3
133,34,1
134,16,18
135,21,5
136,32,11
137,34,2
138,32,2
139,34,2
140,32,2
141,30,2
142,33,3
143,31,2
144,32,1
145,32,0
146,33,1
147,14,19
148,18,4
149,23,5
150,20,3
151,40,20
152,38,2
153,37,1
154,39,2
155,39,0
156,39,0
157,37,2
158,40,3
159,37,3
160,6,31
161,2,4
162,6,4
163,24,18
164,24,0
165,25,1
166,23,2
167,24,1
168,23,1
169,25,2
170,25,0
171,23,2
172,23,0
173,24,1
174,21,3
175,15,6
176,11,4
177,30,19
178,28,2
179,28,0
180,27,1
181,28,1
182,27,1
183,29,2
184,30,1
185,30,0
186,30,0
187,12,18
188,8,4
189,28,20
190,29,1
191,27,2
192,30,3
193,27,3
194,27,0
195,27,0
196,26,1
197,28,2
198,30,2
199,29,1
