frame,points,total,diff
1,0,6,6
2,28,34,6
3,21,34,13
4,20,34,14
5,19,34,15
6,19,34,15
7,18,34,16
8,18,34,16
9,17,34,17
10,47,47,0
11,47,47,0
12,47,47,0
13,37,47,10
14,21,47,26
15,0,45,45
16,0,27,27
17,0,3,3
18,26,26,0
19,26,26,0
20,26,26,0
21,26,26,0
22,25,26,1
23,25,26,1
24,24,26,2
25,24,26,2
26,24,26,2
27,24,26,2
28,26,26,0
29,26,26,0
30,26,26,0
31,25,26,1
32,0,26,26
33,0,8,8
34,0,5,5
35,41,41,0
36,37,41,4
37,35,41,6
38,30,41,11
39,26,41,15
40,24,41,17
41,21,41,20
42,22,41,19
43,19,41,22
44,51,51,0
45,51,51,0
46,40,51,11
47,13,51,38
48,0,50,50
49,0,9,9
50,0,3,3
51,1,7,6
52,42,45,3
53,33,45,12
54,31,45,14
55,29,45,16
56,29,45,16
57,29,45,16
58,28,45,17
59,27,45,18
60,29,45,16
61,35,45,10
62,37,45,8
63,0,45,45
64,0,16,16
65,0,4,4
66,1,8,7
67,34,39,5
68,28,39,11
69,22,39,17
70,23,39,16
71,23,39,16
72,23,39,16
73,23,39,16
74,23,39,16
75,24,39,15
76,24,39,15
77,33,39,6
78,24,39,15
79,1,39,38
80,0,26,26
81,0,11,11
82,0,3,3
83,0,4,4
84,47,47,0
85,46,47,1
86,42,47,5
87,39,47,8
88,34,47,13
89,34,47,13
90,33,47,14
91,33,47,14
92,33,47,14
93,33,47,14
94,34,47,13
95,0,47,47
96,0,10,10
97,0,3,3
98,1,6,5
99,53,53,0
100,53,53,0
101,52,53,1
102,51,53,2
103,48,53,5
104,47,53,6
105,47,53,6
106,48,53,5
107,52,53,1
108,53,53,0
109,53,53,0
110,46,53,7
111,0,53,53
112,0,11,11
113,0,6,6
114,0,5,5
115,45,45,0
116,45,45,0
117,45,45,0
118,44,45,1
119,38,45,7
120,38,45,7
121,38,45,7
122,38,45,7
123,38,45,7
124,41,45,4
125,45,45,0
126,45,45,0
127,43,45,2
128,0,45,45
129,0,8,8
130,0,4,4
131,2,6,4
132,49,50,1
133,49,50,1
134,49,50,1
135,49,50,1
136,49,50,1
137,48,50,2
138,49,50,1
139,49,50,1
140,48,50,2
141,49,50,1
142,47,50,3
143,1,50,49
144,0,45,45
145,0,12,12
146,0,6,6
147,0,6,6
148,5,20,15
149,46,46,0
150,46,46,0
151,46,46,0
152,46,46,0
153,46,46,0
154,46,46,0
155,46,46,0
156,46,46,0
157,46,46,0
158,46,46,0
159,46,46,0
160,43,46,3
161,0,46,46
162,0,5,5
163,0,5,5
164,18,27,9
165,18,27,9
166,18,27,9
167,18,27,9
168,18,27,9
169,18,27,9
170,18,27,9
171,18,27,9
172,18,27,9
173,18,27,9
174,18,27,9
175,19,27,8
176,21,27,6
177,0,27,27
178,0,7,7
179,0,3,3
180,1,7,6
181,38,38,0
182,38,38,0
183,38,38,0
184,38,38,0
185,38,38,0
186,38,38,0
187,37,38,1
188,38,38,0
189,38,38,0
190,38,38,0
191,38,38,0
192,38,38,0
193,11,38,27
194,0,31,31
195,0,4,4
196,0,4,4
197,47,47,0
198,47,47,0
199,47,47,0
200,47,47,0
201,47,47,0
202,47,47,0
203,47,47,0
204,47,47,0
205,47,47,0
206,47,47,0
207,47,47,0
208,44,47,3
209,11,47,36
210,0,48,48
211,0,6,6
212,0,3,3
213,1,9,8
214,44,45,1
215,45,45,0
216,45,45,0
217,45,45,0
218,45,45,0
219,45,45,0
220,45,45,0
221,45,45,0
222,45,45,0
223,45,45,0
224,45,45,0
225,0,45,45
226,0,11,11
227,0,4,4
228,2,8,6
229,50,50,0
230,50,50,0
231,50,50,0
232,50,50,0
233,50,50,0
234,50,50,0
235,50,50,0
236,50,50,0
237,50,50,0
238,50,50,0
239,49,50,1
240,12,50,38
241,0,47,47
242,0,8,8
243,0,4,4
244,0,4,4
245,44,44,0
246,44,44,0
247,44,44,0
248,44,44,0
249,44,44,0
250,44,44,0
251,44,44,0
252,44,44,0
253,44,44,0
254,44,44,0
255,44,44,0
256,0,44,44
257,0,8,8
258,0,3,3
259,17,21,4
260,17,21,4
261,17,21,4
262,17,21,4
263,17,21,4
264,17,21,4
265,17,21,4
266,17,21,4
267,17,21,4
268,17,21,4
269,18,21,3
270,16,21,5
271,1,21,20
272,0,7,7
273,0,4,4
274,0,3,3
275,12,15,3
276,12,15,3
277,12,15,3
278,12,15,3
279,12,15,3
280,11,15,4
281,10,15,5
282,10,15,5
283,13,15,2
284,5,15,10
285,0,13,13
286,0,5,5
287,0,5,5
288,0,4,4
289,0,14,14
290,0,22,22
291,5,20,15
292,52,52,0
293,52,52,0
294,52,52,0
295,44,52,8
296,36,52,16
297,33,52,19
298,21,52,31
299,0,51,51
300,0,34,34
301,0,6,6
302,1,7,6
303,45,45,0
304,45,45,0
305,45,45,0
306,45,45,0
307,45,45,0
308,45,45,0
309,45,45,0
310,43,45,2
311,30,45,15
312,0,45,45
313,0,15,15
314,0,6,6
315,0,9,9
316,0,10,10
317,0,11,11
318,0,20,20
319,0,17,17
320,13,41,28
321,49,49,0
322,48,49,1
323,48,49,1
324,44,49,5
325,0,49,49
326,0,32,32
327,0,11,11
328,0,10,10
329,0,10,10
330,0,6,6
331,0,7,7
332,3,14,11
333,46,46,0
334,46,46,0
335,45,46,1
336,46,46,0
337,45,46,1
338,46,46,0
339,45,46,1
340,46,46,0
341,2,46,44
342,0,33,33
343,0,9,9
344,0,5,5
345,0,10,10
346,0,13,13
347,2,17,15
348,49,49,0
349,49,49,0
350,49,49,0
351,49,49,0
352,49,49,0
353,49,49,0
354,1,49,48
355,0,44,44
356,0,12,12
357,0,9,9
358,0,4,4
359,0,9,9
360,2,11,9
361,40,40,0
362,40,40,0
363,40,40,0
364,40,40,0
365,40,40,0
366,40,40,0
367,36,40,4
368,34,40,6
369,0,40,40
370,0,5,5
371,0,4,4
372,0,6,6
373,11,24,13
374,48,48,0
375,48,48,0
376,48,48,0
377,48,48,0
378,48,48,0
379,48,48,0
380,48,48,0
381,48,48,0
382,48,48,0
383,44,48,4
384,42,48,6
385,0,48,48
386,0,28,28
387,0,8,8
388,0,4,4
389,0,3,3
390,35,35,0
391,35,35,0
392,35,35,0
393,35,35,0
394,35,35,0
395,35,35,0
396,35,35,0
397,35,35,0
398,1,35,34
399,0,23,23
400,0,5,5
401,0,6,6
402,0,3,3
403,0,11,11
404,28,33,5
405,28,33,5
406,28,33,5
407,28,33,5
408,28,33,5
409,28,33,5
410,28,33,5
411,28,33,5
412,28,33,5
413,29,33,4
414,0,33,33
415,0,12,12
416,0,3,3
417,0,5,5
418,2,9,7
419,44,44,0
420,44,44,0
421,43,44,1
422,44,44,0
423,42,44,2
424,43,44,1
425,44,44,0
426,44,44,0
427,42,44,2
428,0,44,44
429,0,13,13
430,0,5,5
431,0,3,3
432,0,8,8
433,49,49,0
434,49,49,0
435,49,49,0
436,49,49,0
437,49,49,0
438,49,49,0
439,49,49,0
440,49,49,0
441,49,49,0
442,48,49,1
443,0,49,49
444,0,10,10
445,0,5,5
446,0,7,7
447,17,26,9
448,17,26,9
449,17,26,9
450,17,26,9
451,16,26,10
452,16,26,10
453,16,26,10
454,17,26,9
455,18,26,8
456,25,26,1
457,0,26,26
458,0,8,8
459,0,3,3
460,0,7,7
461,25,35,10
462,26,35,9
463,26,35,9
464,26,35,9
465,25,35,10
466,26,35,9
467,27,35,8
468,27,35,8
469,27,35,8
470,27,35,8
471,29,35,6
472,0,35,35
473,0,8,8
474,0,4,4
475,1,7,6
476,16,31,15
477,15,31,16
478,45,45,0
479,45,45,0
480,45,45,0
481,45,45,0
482,45,45,0
483,45,45,0
484,43,45,2
485,1,45,44
486,0,30,30
487,0,7,7
488,0,6,6
489,0,8,8
490,2,28,26
491,31,42,11
492,29,42,13
493,30,42,12
494,30,42,12
495,30,42,12
496,30,42,12
497,31,42,11
498,33,42,9
499,30,42,12
500,0,42,42
501,0,8,8
502,0,3,3
503,14,18,4
504,13,18,5
505,13,18,5
506,12,18,6
507,12,18,6
508,11,18,7
509,11,18,7
510,11,18,7
511,11,18,7
512,11,18,7
513,11,18,7
514,0,18,18
515,0,6,6
516,0,6,6
517,0,8,8
518,47,49,2
519,47,49,2
520,47,49,2
521,47,49,2
522,48,49,1
523,48,49,1
524,48,49,1
525,48,49,1
526,48,49,1
527,48,49,1
528,48,49,1
529,0,49,49
530,0,12,12
531,0,4,4
532,0,3,3
533,6,11,5
534,6,11,5
535,6,11,5
536,6,11,5
537,6,11,5
538,6,11,5
539,6,11,5
540,8,11,3
541,5,11,6
542,0,11,11
543,0,7,7
544,0,4,4
545,0,8,8
546,51,52,1
547,51,52,1
548,52,52,0
549,52,52,0
550,52,52,0
551,51,52,1
552,51,52,1
553,52,52,0
554,0,52,52
555,0,21,21
556,0,7,7
557,0,3,3
558,3,15,12
559,44,44,0
560,42,44,2
561,42,44,2
562,41,44,3
563,38,44,6
564,39,44,5
565,38,44,6
566,38,44,6
567,25,44,19
568,0,44,44
569,0,7,7
570,0,5,5
571,0,6,6
572,21,27,6
573,21,27,6
574,21,27,6
575,21,27,6
576,21,27,6
577,21,27,6
578,21,27,6
579,21,27,6
580,20,27,7
581,20,27,7
582,20,27,7
583,0,27,27
584,0,11,11
585,0,4,4
586,0,4,4
587,34,34,0
588,33,34,1
589,32,34,2
590,32,34,2
591,32,34,2
592,32,34,2
593,32,34,2
594,32,34,2
595,33,34,1
596,0,34,34
597,0,15,15
598,0,7,7
599,0,4,4
600,1,8,7
601,41,44,3
602,41,44,3
603,41,44,3
604,41,44,3
605,41,44,3
606,41,44,3
607,41,44,3
608,41,44,3
609,43,44,1
610,0,44,44
611,0,27,27
612,0,6,6
613,0,7,7
614,36,36,0
615,36,36,0
616,36,36,0
617,35,36,1
618,34,36,2
619,35,36,1
620,34,36,2
621,34,36,2
622,34,36,2
623,36,36,0
624,0,36,36
625,0,9,9
626,0,3,3
627,0,6,6
628,14,25,11
629,14,25,11
630,16,25,9
631,14,25,11
632,14,25,11
633,15,25,10
634,15,25,10
635,16,25,9
636,18,25,7
637,18,25,7
638,0,25,25
639,0,15,15
640,0,6,6
641,0,3,3
642,7,14,7
643,45,45,0
644,45,45,0
645,45,45,0
646,45,45,0
647,45,45,0
648,45,45,0
649,43,45,2
