frame,points,total,diff
1,0,6,6
2,26,34,8
3,19,34,15
4,18,34,16
5,16,34,18
6,46,46,0
7,45,46,1
8,45,46,1
9,46,46,0
10,46,46,0
11,46,46,0
12,46,46,0
13,29,46,17
14,7,46,39
15,0,45,45
16,0,27,27
17,0,3,3
18,26,26,0
19,26,26,0
20,26,26,0
21,26,26,0
22,25,26,1
23,24,26,2
24,24,26,2
25,24,26,2
26,24,26,2
27,24,26,2
28,26,26,0
29,25,26,1
30,25,26,1
31,22,26,4
32,0,26,26
33,0,8,8
34,0,5,5
35,37,41,4
36,28,41,13
37,27,41,14
38,20,41,21
39,49,51,2
40,35,51,16
41,32,51,19
42,29,51,22
43,26,51,25
44,22,51,29
45,48,53,5
46,31,53,22
47,6,53,47
48,0,50,50
49,0,9,9
50,0,3,3
51,1,7,6
52,36,45,9
53,19,45,26
54,46,46,0
55,44,46,2
56,43,46,3
57,43,46,3
58,42,46,4
59,42,46,4
60,43,46,3
61,39,46,7
62,5,46,41
63,0,44,44
64,0,16,16
65,0,4,4
66,0,8,8
67,33,39,6
68,23,39,16
69,19,39,20
70,51,51,0
71,51,51,0
72,50,51,1
73,51,51,0
74,51,51,0
75,50,51,1
76,50,51,1
77,38,51,13
78,14,51,37
79,0,50,50
80,0,26,26
81,0,11,11
82,0,3,3
83,0,4,4
84,45,47,2
85,43,47,4
86,34,47,13
87,31,47,16
88,29,47,18
89,28,47,19
90,26,47,21
91,26,47,21
92,25,47,22
93,26,47,21
94,19,47,28
95,0,49,49
96,0,10,10
97,0,3,3
98,1,6,5
99,51,53,2
100,51,53,2
101,49,53,4
102,43,53,10
103,39,53,14
104,37,53,16
105,36,53,17
106,38,53,15
107,48,53,5
108,49,53,4
109,48,53,5
110,31,53,22
111,0,53,53
112,0,11,11
113,0,6,6
114,0,5,5
115,45,45,0
116,45,45,0
117,40,45,5
118,38,45,7
119,38,45,7
120,35,45,10
121,36,45,9
122,35,45,10
123,38,45,7
124,38,45,7
125,45,45,0
126,43,45,2
127,33,45,12
128,0,45,45
129,0,8,8
130,0,4,4
131,2,6,4
132,46,50,4
133,48,50,2
134,48,50,2
135,47,50,3
136,47,50,3
137,47,50,3
138,47,50,3
139,47,50,3
140,47,50,3
141,48,50,2
142,44,50,6
143,0,50,50
144,0,45,45
145,0,12,12
146,0,6,6
147,0,6,6
148,5,20,15
149,44,46,2
150,45,46,1
151,46,46,0
152,46,46,0
153,46,46,0
154,46,46,0
155,46,46,0
156,46,46,0
157,45,46,1
158,45,46,1
159,46,46,0
160,21,46,25
161,0,46,46
162,0,5,5
163,0,5,5
164,16,27,11
165,17,27,10
166,17,27,10
167,17,27,10
168,18,27,9
169,18,27,9
170,18,27,9
171,18,27,9
172,18,27,9
173,18,27,9
174,18,27,9
175,18,27,9
176,19,27,8
177,0,27,27
178,0,7,7
179,0,3,3
180,1,7,6
181,38,38,0
182,36,38,2
183,36,38,2
184,36,38,2
185,36,38,2
186,36,38,2
187,36,38,2
188,36,38,2
189,36,38,2
190,37,38,1
