frame,points,total,diff
1,49,49,0
2,49,49,0
3,49,49,0
4,49,49,0
5,49,49,0
6,49,49,0
7,49,49,0
8,49,49,0
9,49,49,0
10,49,49,0
11,49,49,0
12,49,49,0
13,49,49,0
14,49,49,0
15,49,49,0
16,49,49,0
17,49,49,0
18,49,49,0
19,49,49,0
20,49,49,0
21,49,49,0
22,49,49,0
23,49,49,0
24,49,49,0
25,49,49,0
26,49,49,0
27,49,49,0
28,49,49,0
29,49,49,0
30,49,49,0
31,49,49,0
32,49,49,0
33,49,49,0
34,49,49,0
35,49,49,0
36,49,49,0
37,49,49,0
38,49,49,0
39,49,49,0
40,49,49,0
41,49,49,0
42,49,49,0
43,49,49,0
44,49,49,0
45,49,49,0
46,49,49,0
47,49,49,0
48,49,49,0
49,49,49,0
50,49,49,0
51,49,49,0
52,49,49,0
53,49,49,0
54,49,49,0
55,49,49,0
56,49,49,0
57,49,49,0
58,49,49,0
59,49,49,0
60,49,49,0
61,49,49,0
62,49,49,0
63,49,49,0
64,49,49,0
65,49,49,0
66,49,49,0
67,49,49,0
68,49,49,0
69,49,49,0
70,49,49,0
71,49,49,0
72,49,49,0
73,49,49,0
74,49,49,0
75,49,49,0
76,49,49,0
77,49,49,0
78,49,49,0
79,49,49,0
80,49,49,0
81,49,49,0
82,49,49,0
83,49,49,0
84,49,49,0
85,49,49,0
86,49,49,0
87,49,49,0
88,49,49,0
89,49,49,0
90,49,49,0
91,49,49,0
92,49,49,0
93,49,49,0
94,49,49,0
95,49,49,0
96,49,49,0
97,49,49,0
98,49,49,0
99,49,49,0
100,49,49,0
101,49,49,0
102,49,49,0
103,49,49,0
104,49,49,0
105,49,49,0
106,49,49,0
107,49,49,0
108,49,49,0
109,49,49,0
110,49,49,0
111,49,49,0
112,49,49,0
113,49,49,0
114,49,49,0
115,49,49,0
116,49,49,0
117,49,49,0
118,49,49,0
119,49,49,0
120,49,49,0
121,49,49,0
122,49,49,0
123,49,49,0
124,49,49,0
125,49,49,0
126,49,49,0
127,49,49,0
128,49,49,0
129,49,49,0
130,49,49,0
131,49,49,0
132,49,49,0
133,49,49,0
134,49,49,0
135,49,49,0
