frame,points,derivation
0,40,0
1,43,1
2,39,1
3,40,1
4,42,2
5,41,0
6,40,3
7,41,1
8,41,2
9,42,0
10,43,1
11,40,0
12,41,2
13,40,1
14,40,0
15,40,0
16,39,1
17,42,0
18,44,3
19,42,3
20,43,2
21,42,1
22,42,2
23,45,5
24,45,4
25,41,1
26,38,1
27,43,0
28,42,1
29,43,1
30,39,2
31,41,2
32,41,2
33,42,3
34,43,1
35,44,0
36,44,2
37,41,2
38,40,2
39,40,2
40,40,0
41,41,2
42,42,3
43,42,1
44,45,3
45,38,4
46,43,4
47,41,1
48,43,0
49,42,1
50,43,1
51,43,1
52,40,0
53,42,3
54,43,3
55,44,2
56,39,0
57,42,1
58,39,0
59,41,2
60,41,0
61,41,0
62,44,1
63,41,1
64,40,0
65,39,3
66,40,2
67,41,3
68,41,2
69,43,2
70,44,0
71,40,3
72,44,3
73,40,4
74,43,3
75,43,1
76,41,0
77,44,0
78,43,1
79,44,5
80,42,0
81,44,2
82,41,3
83,39,2
84,38,2
85,43,1
86,42,1
87,40,4
88,41,3
89,42,0
90,40,1
91,40,2
92,41,2
93,43,2
94,43,4
95,41,0
96,39,4
97,41,2
98,41,0
99,39,1
100,42,1
101,38,3
102,43,2
103,43,1
104,40,3
105,43,2
106,43,2
107,42,3
108,41,3
109,41,1
110,39,2
111,42,1
112,42,3
113,42,1
114,44,0
115,40,1
116,41,1
117,40,2
118,44,2
119,44,0
120,42,3
121,46,2
122,41,0
123,39,0
124,43,3
125,42,4
126,42,1
127,43,2
128,43,2
129,41,1
130,38,2
131,44,1
132,44,2
133,43,2
134,38,1
135,39,1
136,39,3
137,40,0
138,41,2
139,39,1
140,40,3
141,39,3
142,40,1
143,40,1
144,41,2
145,42,0
146,43,0
147,38,1
148,43,1
149,41,1
150,43,0
151,43,1
152,41,1
153,42,0
154,41,2
155,45,5
156,43,1
157,43,1
158,43,0
159,40,2
160,42,3
161,42,0
162,39,3
163,43,2
164,39,1
165,42,1
166,42,1
167,41,0
168,44,0
169,41,1
170,39,2
171,40,1
172,44,3
173,44,4
174,43,1
175,40,4
176,39,0
177,38,4
178,46,2
179,39,2
180,41,2
181,39,1
182,42,4
183,42,1
184,44,1
185,41,0
186,40,1
187,42,3
188,40,3
189,38,1
190,42,3
191,40,0
192,40,1
193,43,2
194,41,1
195,43,1
196,46,2
197,41,3
198,39,2
199,40,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
