frame,points,total,diff
1,53,53,0
2,53,53,0
3,53,53,0
4,53,53,0
5,52,53,1
6,50,53,3
7,45,53,8
8,38,53,15
9,42,53,11
10,43,53,10
11,41,53,12
12,37,53,16
13,34,53,19
14,36,53,17
15,37,53,16
16,37,53,16
17,40,53,13
18,39,53,14
19,40,53,13
20,40,53,13
21,40,53,13
22,40,53,13
23,40,53,13
24,42,53,11
25,42,53,11
26,42,53,11
27,42,53,11
28,42,53,11
29,42,53,11
30,42,53,11
31,44,53,9
32,44,53,9
33,45,53,8
34,45,53,8
35,47,53,6
36,48,53,5
37,50,53,3
38,51,53,2
39,50,53,3
40,50,53,3
41,50,53,3
42,50,53,3
43,50,53,3
44,50,53,3
45,52,53,1
46,52,53,1
47,52,53,1
48,52,53,1
49,52,53,1
50,52,53,1
51,51,53,2
52,50,53,3
53,49,53,4
54,49,53,4
55,48,53,5
56,48,53,5
57,51,53,2
58,51,53,2
59,51,53,2
60,49,53,4
61,51,53,2
62,50,53,3
63,48,53,5
64,50,53,3
65,50,53,3
66,50,53,3
67,50,53,3
68,51,53,2
69,51,53,2
70,51,53,2
71,51,53,2
72,52,53,1
73,51,53,2
74,51,53,2
75,51,53,2
76,52,53,1
77,53,53,0
78,53,53,0
79,53,53,0
80,53,53,0
81,53,53,0
82,53,53,0
83,53,53,0
84,53,53,0
85,53,53,0
86,53,53,0
87,53,53,0
88,53,53,0
89,53,53,0
90,53,53,0
91,53,53,0
92,53,53,0
93,53,53,0
94,53,53,0
95,53,53,0
96,53,53,0
97,53,53,0
98,53,53,0
99,53,53,0
100,53,53,0
101,53,53,0
102,53,53,0
103,53,53,0
104,53,53,0
105,53,53,0
106,53,53,0
107,53,53,0
108,53,53,0
109,52,53,1
110,51,53,2
111,51,53,2
112,51,53,2
113,52,53,1
114,50,53,3
115,50,53,3
116,51,53,2
117,50,53,3
118,49,53,4
119,49,53,4
120,50,53,3
121,50,53,3
122,50,53,3
123,50,53,3
124,49,53,4
125,51,53,2
126,51,53,2
127,51,53,2
128,51,53,2
129,52,53,1
130,52,53,1
131,48,53,5
132,48,53,5
133,48,53,5
134,52,53,1
135,52,53,1
136,52,53,1
137,52,53,1
138,51,53,2
139,51,53,2
140,50,53,3
141,50,53,3
142,48,53,5
143,49,53,4
144,48,53,5
145,48,53,5
146,49,53,4
147,49,53,4
148,51,53,2
149,51,53,2
150,51,53,2
151,49,53,4
152,49,53,4
153,50,53,3
154,50,53,3
155,50,53,3
156,50,53,3
157,51,53,2
158,50,53,3
159,51,53,2
160,51,53,2
161,52,53,1
162,52,53,1
163,52,53,1
164,52,53,1
165,52,53,1
166,51,53,2
167,50,53,3
168,48,53,5
169,47,53,6
170,48,53,5
171,49,53,4
172,49,53,4
173,50,53,3
174,51,53,2
175,51,53,2
176,49,53,4
177,50,53,3
178,50,53,3
179,50,53,3
180,49,53,4
181,50,53,3
182,49,53,4
183,49,53,4
184,48,53,5
185,50,53,3
186,49,53,4
187,51,53,2
188,51,53,2
189,52,53,1
190,51,53,2
191,51,53,2
192,52,53,1
193,51,53,2
194,50,53,3
195,50,53,3
196,49,53,4
197,50,53,3
198,50,53,3
199,51,53,2
200,51,53,2
201,51,53,2
202,50,53,3
203,50,53,3
204,49,53,4
205,48,53,5
206,48,53,5
207,48,53,5
208,49,53,4
209,50,53,3
210,50,53,3
211,51,53,2
212,50,53,3
213,51,53,2
214,50,53,3
215,50,53,3
216,50,53,3
217,50,53,3
218,50,53,3
219,51,53,2
220,51,53,2
221,51,53,2
222,50,53,3
223,48,53,5
224,48,53,5
225,47,53,6
226,49,53,4
227,51,53,2
228,51,53,2
229,51,53,2
230,51,53,2
231,51,53,2
232,51,53,2
233,51,53,2
234,51,53,2
235,51,53,2
236,51,53,2
237,50,53,3
238,50,53,3
239,49,53,4
240,49,53,4
241,49,53,4
242,50,53,3
243,50,53,3
244,50,53,3
245,51,53,2
246,50,53,3
247,50,53,3
248,50,53,3
249,50,53,3
250,50,53,3
251,49,53,4
252,49,53,4
253,49,53,4
254,49,53,4
255,50,53,3
256,49,53,4
257,50,53,3
258,48,53,5
259,48,53,5
260,47,53,6
261,48,53,5
262,49,53,4
263,49,53,4
264,49,53,4
265,49,53,4
266,49,53,4
267,50,53,3
268,49,53,4
269,49,53,4
270,49,53,4
271,49,53,4
272,49,53,4
273,49,53,4
274,50,53,3
275,49,53,4
276,47,53,6
277,48,53,5
278,49,53,4
279,49,53,4
280,49,53,4
281,49,53,4
282,50,53,3
283,50,53,3
284,51,53,2
285,51,53,2
286,50,53,3
287,50,53,3
288,50,53,3
289,50,53,3
290,50,53,3
291,51,53,2
292,51,53,2
293,51,53,2
294,52,53,1
295,52,53,1
296,53,53,0
297,53,53,0
298,53,53,0
299,53,53,0
300,53,53,0
301,53,53,0
302,53,53,0
303,53,53,0
304,50,53,3
305,51,53,2
306,50,53,3
307,50,53,3
308,50,53,3
309,51,53,2
310,50,53,3
311,50,53,3
312,51,53,2
313,51,53,2
314,50,53,3
315,50,53,3
316,49,53,4
317,50,53,3
318,50,53,3
319,50,53,3
320,49,53,4
321,50,53,3
322,50,53,3
323,51,53,2
324,50,53,3
325,51,53,2
326,50,53,3
327,50,53,3
328,50,53,3
329,50,53,3
330,50,53,3
331,49,53,4
332,48,53,5
333,48,53,5
334,48,53,5
335,48,53,5
336,49,53,4
337,50,53,3
338,51,53,2
339,49,53,4
340,49,53,4
341,49,53,4
342,49,53,4
343,49,53,4
344,49,53,4
345,49,53,4
346,51,53,2
347,50,53,3
348,50,53,3
349,50,53,3
350,49,53,4
351,49,53,4
352,49,53,4
353,48,53,5
354,48,53,5
355,49,53,4
356,49,53,4
357,50,53,3
358,50,53,3
359,49,53,4
360,51,53,2
361,49,53,4
362,50,53,3
363,48,53,5
364,46,53,7
365,45,53,8
366,46,53,7
367,45,53,8
368,44,53,9
369,42,53,11
370,41,53,12
371,42,53,11
372,41,53,12
373,42,53,11
374,42,53,11
375,42,53,11
376,42,53,11
377,43,53,10
378,42,53,11
379,42,53,11
380,41,53,12
381,40,53,13
382,40,53,13
383,41,53,12
384,41,53,12
385,43,53,10
386,43,53,10
387,44,53,9
388,43,53,10
389,40,53,13
390,38,53,15
391,39,53,14
392,39,53,14
393,39,53,14
394,38,53,15
395,39,53,14
396,39,53,14
397,39,53,14
398,39,53,14
399,40,53,13
400,38,53,15
401,38,53,15
402,40,53,13
403,40,53,13
404,38,53,15
405,36,53,17
406,39,53,14
407,38,53,15
408,38,53,15
409,38,53,15
410,41,53,12
411,41,53,12
412,41,53,12
413,41,53,12
414,41,53,12
415,41,53,12
416,43,53,10
417,42,53,11
418,41,53,12
419,42,53,11
420,44,53,9
421,44,53,9
422,46,53,7
423,45,53,8
424,45,53,8
425,47,53,6
426,46,53,7
427,46,53,7
428,46,53,7
429,47,53,6
430,47,53,6
431,46,53,7
432,45,53,8
433,43,53,10
434,43,53,10
435,43,53,10
436,43,53,10
437,42,53,11
438,42,53,11
439,43,53,10
440,43,53,10
441,43,53,10
442,42,53,11
443,42,53,11
444,41,53,12
445,41,53,12
446,42,53,11
447,43,53,10
448,43,53,10
449,42,53,11
450,43,53,10
451,42,53,11
452,39,53,14
453,38,53,15
454,38,53,15
455,37,53,16
456,37,53,16
457,39,53,14
458,39,53,14
459,40,53,13
460,40,53,13
461,41,53,12
462,42,53,11
463,41,53,12
464,41,53,12
465,39,53,14
466,40,53,13
467,38,53,15
468,36,53,17
469,35,53,18
470,36,53,17
471,36,53,17
472,37,53,16
473,36,53,17
474,36,53,17
475,38,53,15
476,39,53,14
477,39,53,14
478,39,53,14
479,40,53,13
480,39,53,14
481,38,53,15
482,38,53,15
483,36,53,17
484,37,53,16
485,37,53,16
486,35,53,18
487,34,53,19
488,34,53,19
489,35,53,18
490,35,53,18
491,35,53,18
492,37,53,16
493,39,53,14
494,40,53,13
495,40,53,13
496,40,53,13
497,40,53,13
498,39,53,14
499,39,53,14
500,41,53,12
501,40,53,13
502,41,53,12
503,41,53,12
504,41,53,12
505,41,53,12
506,41,53,12
507,43,53,10
508,44,53,9
509,44,53,9
510,45,53,8
511,44,53,9
512,46,53,7
513,44,53,9
514,44,53,9
515,43,53,10
516,44,53,9
517,45,53,8
518,46,53,7
519,46,53,7
520,47,53,6
521,47,53,6
522,47,53,6
523,47,53,6
524,47,53,6
525,47,53,6
526,46,53,7
527,45,53,8
528,45,53,8
529,45,53,8
530,47,53,6
531,46,53,7
532,47,53,6
533,46,53,7
534,47,53,6
535,47,53,6
536,46,53,7
537,46,53,7
538,47,53,6
539,46,53,7
540,45,53,8
541,46,53,7
542,45,53,8
543,45,53,8
544,45,53,8
545,46,53,7
546,46,53,7
547,47,53,6
548,48,53,5
549,48,53,5
550,48,53,5
551,48,53,5
552,48,53,5
553,47,53,6
554,47,53,6
555,46,53,7
556,46,53,7
557,46,53,7
558,46,53,7
559,46,53,7
560,45,53,8
561,45,53,8
562,45,53,8
563,46,53,7
564,46,53,7
565,46,53,7
566,46,53,7
567,46,53,7
568,46,53,7
569,46,53,7
570,47,53,6
571,46,53,7
572,46,53,7
573,46,53,7
574,46,53,7
575,46,53,7
576,46,53,7
577,43,53,10
578,43,53,10
579,43,53,10
580,45,53,8
581,47,53,6
582,47,53,6
583,47,53,6
584,47,53,6
585,47,53,6
586,47,53,6
587,47,53,6
588,46,53,7
589,46,53,7
590,45,53,8
591,46,53,7
592,44,53,9
593,44,53,9
594,45,53,8
595,45,53,8
596,45,53,8
597,46,53,7
598,44,53,9
599,44,53,9
600,44,53,9
601,42,53,11
602,41,53,12
603,39,53,14
604,41,53,12
605,41,53,12
606,41,53,12
607,41,53,12
608,40,53,13
609,40,53,13
610,39,53,14
611,40,53,13
612,40,53,13
613,40,53,13
614,41,53,12
615,40,53,13
616,39,53,14
617,39,53,14
618,39,53,14
619,40,53,13
620,39,53,14
621,39,53,14
622,38,53,15
623,37,53,16
624,38,53,15
625,37,53,16
626,38,53,15
627,37,53,16
628,34,53,19
629,32,53,21
630,29,53,24
631,31,53,22
632,32,53,21
633,32,53,21
634,32,53,21
635,33,53,20
636,35,53,18
637,37,53,16
638,40,53,13
639,40,53,13
640,40,53,13
641,39,53,14
642,39,53,14
643,39,53,14
644,39,53,14
645,39,53,14
646,39,53,14
647,39,53,14
648,39,53,14
649,39,53,14
650,39,53,14
651,39,53,14
652,39,53,14
653,39,53,14
654,37,53,16
655,37,53,16
656,36,53,17
657,36,53,17
658,38,53,15
659,38,53,15
660,37,53,16
661,36,53,17
662,34,53,19
663,34,53,19
664,32,53,21
665,33,53,20
666,32,53,21
667,31,53,22
668,34,53,19
669,34,53,19
670,33,53,20
671,33,53,20
672,34,53,19
673,34,53,19
674,34,53,19
675,34,53,19
676,33,53,20
677,34,53,19
678,33,53,20
679,34,53,19
680,37,53,16
681,36,53,17
682,39,53,14
683,38,53,15
684,37,53,16
685,38,53,15
686,38,53,15
687,37,53,16
688,37,53,16
689,39,53,14
690,39,53,14
691,39,53,14
692,39,53,14
693,40,53,13
694,41,53,12
695,41,53,12
696,41,53,12
697,41,53,12
698,42,53,11
699,40,53,13
700,41,53,12
701,41,53,12
702,40,53,13
703,42,53,11
704,41,53,12
705,40,53,13
706,40,53,13
707,41,53,12
708,43,53,10
709,42,53,11
710,42,53,11
711,42,53,11
712,43,53,10
713,43,53,10
714,42,53,11
715,42,53,11
716,42,53,11
717,42,53,11
718,43,53,10
719,42,53,11
720,42,53,11
721,42,53,11
722,43,53,10
723,43,53,10
724,44,53,9
725,45,53,8
726,44,53,9
727,40,53,13
728,40,53,13
729,40,53,13
730,40,53,13
731,40,53,13
732,40,53,13
733,42,53,11
734,42,53,11
735,43,53,10
736,44,53,9
737,43,53,10
738,44,53,9
739,43,53,10
740,44,53,9
741,43,53,10
742,41,53,12
743,40,53,13
744,41,53,12
745,42,53,11
746,40,53,13
747,43,53,10
748,42,53,11
749,39,53,14
750,42,53,11
751,43,53,10
752,42,53,11
753,42,53,11
754,43,53,10
755,40,53,13
756,41,53,12
757,41,53,12
758,41,53,12
759,40,53,13
760,40,53,13
761,40,53,13
762,41,53,12
763,40,53,13
764,41,53,12
765,41,53,12
766,41,53,12
767,41,53,12
768,41,53,12
769,40,53,13
770,41,53,12
771,41,53,12
772,39,53,14
773,39,53,14
774,39,53,14
775,41,53,12
776,41,53,12
777,42,53,11
778,43,53,10
779,42,53,11
780,42,53,11
781,43,53,10
782,43,53,10
783,43,53,10
784,43,53,10
785,42,53,11
786,42,53,11
787,42,53,11
788,41,53,12
789,39,53,14
790,40,53,13
791,38,53,15
792,38,53,15
793,40,53,13
794,39,53,14
795,40,53,13
796,39,53,14
797,39,53,14
798,39,53,14
799,39,53,14
800,39,53,14
801,39,53,14
802,41,53,12
803,41,53,12
804,41,53,12
805,40,53,13
806,39,53,14
807,41,53,12
808,42,53,11
809,41,53,12
810,39,53,14
811,41,53,12
812,41,53,12
813,40,53,13
814,38,53,15
815,39,53,14
816,41,53,12
817,41,53,12
818,41,53,12
819,41,53,12
820,41,53,12
821,42,53,11
822,42,53,11
823,42,53,11
824,41,53,12
825,42,53,11
826,42,53,11
827,42,53,11
828,43,53,10
829,43,53,10
830,43,53,10
831,43,53,10
832,43,53,10
833,43,53,10
834,43,53,10
835,43,53,10
836,43,53,10
837,43,53,10
838,42,53,11
839,42,53,11
840,42,53,11
841,43,53,10
842,43,53,10
843,42,53,11
844,42,53,11
845,41,53,12
846,40,53,13
847,41,53,12
848,41,53,12
849,41,53,12
850,40,53,13
851,40,53,13
852,39,53,14
853,41,53,12
854,41,53,12
855,42,53,11
856,41,53,12
857,41,53,12
858,41,53,12
859,40,53,13
860,42,53,11
861,41,53,12
862,42,53,11
863,42,53,11
864,42,53,11
865,42,53,11
866,42,53,11
867,42,53,11
868,41,53,12
869,40,53,13
870,40,53,13
871,40,53,13
872,40,53,13
873,41,53,12
874,41,53,12
875,41,53,12
876,41,53,12
877,41,53,12
878,41,53,12
879,41,53,12
880,41,53,12
881,41,53,12
882,41,53,12
883,41,53,12
884,41,53,12
885,40,53,13
886,40,53,13
887,40,53,13
888,40,53,13
889,41,53,12
890,40,53,13
891,40,53,13
892,42,53,11
893,41,53,12
894,41,53,12
895,42,53,11
896,39,53,14
897,39,53,14
898,39,53,14
899,39,53,14
900,40,53,13
901,39,53,14
902,38,53,15
903,37,53,16
904,38,53,15
905,39,53,14
906,38,53,15
907,40,53,13
908,42,53,11
909,42,53,11
910,42,53,11
911,42,53,11
912,41,53,12
913,41,53,12
914,40,53,13
915,42,53,11
916,41,53,12
917,41,53,12
918,41,53,12
919,41,53,12
920,41,53,12
921,42,53,11
922,39,53,14
923,38,53,15
924,42,53,11
925,42,53,11
926,41,53,12
927,42,53,11
928,42,53,11
929,42,53,11
930,40,53,13
931,40,53,13
932,42,53,11
933,41,53,12
934,41,53,12
935,41,53,12
936,40,53,13
937,40,53,13
938,40,53,13
939,41,53,12
940,41,53,12
941,41,53,12
942,42,53,11
943,42,53,11
944,40,53,13
945,42,53,11
946,43,53,10
947,41,53,12
948,42,53,11
949,42,53,11
950,41,53,12
951,41,53,12
952,41,53,12
953,40,53,13
954,40,53,13
955,41,53,12
956,41,53,12
957,42,53,11
958,42,53,11
959,42,53,11
960,40,53,13
961,41,53,12
962,42,53,11
963,42,53,11
964,42,53,11
965,42,53,11
966,43,53,10
967,41,53,12
968,44,53,9
969,44,53,9
970,43,53,10
971,43,53,10
972,42,53,11
973,42,53,11
974,42,53,11
975,42,53,11
976,42,53,11
977,42,53,11
978,42,53,11
979,42,53,11
980,42,53,11
981,42,53,11
982,42,53,11
983,43,53,10
984,43,53,10
985,43,53,10
986,43,53,10
987,42,53,11
988,41,53,12
989,41,53,12
990,40,53,13
991,40,53,13
992,42,53,11
993,42,53,11
994,43,53,10
995,42,53,11
996,43,53,10
997,42,53,11
998,42,53,11
999,42,53,11
1000,41,53,12
1001,41,53,12
1002,43,53,10
1003,41,53,12
1004,42,53,11
1005,42,53,11
1006,42,53,11
1007,42,53,11
1008,39,53,14
1009,40,53,13
1010,40,53,13
1011,40,53,13
1012,42,53,11
1013,42,53,11
1014,42,53,11
1015,41,53,12
1016,41,53,12
1017,41,53,12
1018,42,53,11
1019,42,53,11
1020,42,53,11
1021,42,53,11
1022,43,53,10
1023,43,53,10
1024,43,53,10
1025,43,53,10
1026,43,53,10
1027,43,53,10
1028,43,53,10
1029,42,53,11
1030,42,53,11
1031,42,53,11
1032,43,53,10
1033,43,53,10
1034,43,53,10
1035,42,53,11
1036,42,53,11
1037,42,53,11
1038,42,53,11
1039,42,53,11
1040,42,53,11
1041,42,53,11
1042,42,53,11
1043,43,53,10
1044,42,53,11
1045,41,53,12
1046,40,53,13
1047,40,53,13
1048,41,53,12
1049,40,53,13
1050,41,53,12
1051,42,53,11
1052,42,53,11
1053,42,53,11
1054,42,53,11
1055,42,53,11
1056,42,53,11
1057,42,53,11
1058,41,53,12
1059,41,53,12
1060,42,53,11
1061,41,53,12
1062,41,53,12
1063,41,53,12
1064,40,53,13
1065,42,53,11
1066,42,53,11
1067,42,53,11
1068,42,53,11
1069,42,53,11
1070,42,53,11
1071,44,53,9
1072,43,53,10
1073,42,53,11
1074,42,53,11
1075,41,53,12
1076,41,53,12
1077,42,53,11
1078,42,53,11
1079,42,53,11
1080,42,53,11
1081,42,53,11
1082,41,53,12
