frame,points,total,diff
1,48,48,0
2,48,48,0
3,48,48,0
4,48,48,0
5,31,48,17
6,0,48,48
7,0,29,29
8,0,3,3
9,0,3,3
10,1,4,3
11,0,7,7
12,33,33,0
13,33,33,0
14,33,33,0
15,33,33,0
16,33,33,0
17,33,33,0
18,33,33,0
19,33,33,0
20,33,33,0
21,33,33,0
22,32,33,1
23,3,33,30
24,0,27,27
25,0,6,6
26,0,1,1
27,0,1,1
28,48,48,0
29,48,48,0
30,48,48,0
31,48,48,0
32,48,48,0
33,48,48,0
34,48,48,0
35,48,48,0
36,48,48,0
37,48,48,0
38,48,48,0
39,38,48,10
40,2,48,46
41,0,47,47
42,0,20,20
43,0,3,3
44,0,1,1
45,1,2,1
46,31,31,0
47,31,31,0
48,31,31,0
49,31,31,0
50,31,31,0
51,31,31,0
52,31,31,0
53,31,31,0
54,31,31,0
55,31,31,0
56,1,31,30
57,0,21,21
58,2,5,3
59,0,8,8
60,0,4,4
61,0,2,2
62,2,7,5
63,40,46,6
64,41,46,5
65,43,46,3
66,44,46,2
67,45,46,1
68,46,46,0
69,46,46,0
70,46,46,0
71,46,46,0
72,46,46,0
73,46,46,0
74,11,46,35
75,0,50,50
76,0,22,22
77,0,6,6
78,0,0,0
79,1,6,5
80,35,35,0
81,35,35,0
82,35,35,0
83,35,35,0
84,35,35,0
85,35,35,0
86,35,35,0
87,35,35,0
88,35,35,0
89,35,35,0
90,35,35,0
91,0,35,35
92,0,12,12
93,0,1,1
94,0,1,1
95,0,2,2
96,48,48,0
97,48,48,0
98,48,48,0
99,48,48,0
100,48,48,0
101,48,48,0
102,48,48,0
103,46,48,2
104,39,48,9
105,20,48,28
106,48,48,0
107,8,48,40
108,1,49,48
109,0,29,29
110,0,4,4
111,0,0,0
112,2,9,7
113,20,21,1
114,20,21,1
115,20,21,1
116,20,21,1
117,20,21,1
118,20,21,1
119,20,21,1
120,20,21,1
121,20,21,1
122,20,21,1
123,20,21,1
124,20,21,1
125,20,21,1
126,19,21,2
127,18,21,3
128,0,21,21
129,0,3,3
130,0,1,1
131,17,19,2
132,18,19,1
133,19,19,0
134,19,19,0
135,19,19,0
136,19,19,0
137,19,19,0
138,19,19,0
139,19,19,0
140,19,19,0
141,19,19,0
142,19,19,0
143,19,19,0
144,9,19,10
145,1,48,47
146,0,6,6
147,0,1,1
148,8,8,0
149,8,8,0
150,8,8,0
151,8,8,0
152,8,8,0
153,8,8,0
154,8,8,0
155,8,8,0
156,8,8,0
157,8,8,0
158,8,8,0
159,2,8,6
160,0,8,8
161,0,3,3
162,0,1,1
163,2,4,2
164,48,48,0
165,48,48,0
166,48,48,0
167,48,48,0
168,48,48,0
169,48,48,0
170,48,48,0
171,48,48,0
172,48,48,0
173,48,48,0
174,31,48,17
175,0,48,48
176,0,13,13
177,0,3,3
178,0,1,1
179,0,1,1
180,30,30,0
181,30,30,0
182,30,30,0
183,30,30,0
184,30,30,0
185,30,30,0
186,30,30,0
187,30,30,0
188,30,30,0
189,30,30,0
190,30,30,0
191,29,30,1
192,0,30,30
193,0,5,5
194,0,0,0
195,38,39,1
196,38,39,1
197,38,39,1
198,38,39,1
199,38,39,1
200,38,39,1
201,38,39,1
202,38,39,1
203,38,39,1
204,38,39,1
205,2,39,37
206,0,42,42
207,0,6,6
208,0,3,3
209,0,1,1
210,0,2,2
211,0,14,14
212,30,30,0
213,30,30,0
214,30,30,0
215,30,30,0
216,30,30,0
217,30,30,0
218,30,30,0
219,30,30,0
220,30,30,0
221,0,30,30
222,0,5,5
223,6,9,3
224,6,9,3
225,6,9,3
226,6,9,3
227,6,9,3
228,6,9,3
229,6,9,3
230,6,9,3
231,6,9,3
232,6,9,3
233,6,9,3
234,3,9,6
235,0,34,34
236,0,8,8
237,0,6,6
238,0,2,2
239,0,1,1
240,0,8,8
241,4,7,3
242,4,7,3
243,4,7,3
244,4,7,3
245,4,7,3
246,4,7,3
247,4,7,3
248,4,7,3
249,1,7,6
250,3,17,14
251,0,23,23
252,1,16,15
253,0,10,10
254,0,5,5
255,0,3,3
256,0,2,2
257,8,15,7
258,7,15,8
259,48,48,0
260,48,48,0
261,48,48,0
262,48,48,0
263,48,48,0
264,48,48,0
265,48,48,0
266,7,48,41
267,0,48,48
268,0,21,21
269,0,3,3
270,0,3,3
271,0,3,3
272,0,1,1
273,34,34,0
274,34,34,0
275,34,34,0
276,34,34,0
277,34,34,0
278,34,34,0
279,28,34,6
280,2,34,32
281,0,35,35
282,0,12,12
283,0,5,5
284,0,5,5
285,0,6,6
286,0,7,7
287,0,7,7
288,0,6,6
289,10,12,2
290,9,12,3
291,9,12,3
292,9,12,3
293,10,12,2
294,11,12,1
295,8,12,4
296,0,12,12
297,0,13,13
298,3,28,25
299,0,26,26
300,0,9,9
301,0,6,6
302,0,6,6
303,0,4,4
304,0,4,4
305,0,5,5
306,17,17,0
307,17,17,0
308,17,17,0
309,17,17,0
310,17,17,0
311,15,17,2
312,1,17,16
313,1,24,23
314,0,17,17
315,0,7,7
316,0,7,7
317,0,5,5
318,0,7,7
319,0,6,6
320,0,7,7
321,0,7,7
322,24,38,14
323,12,38,26
324,48,48,0
325,48,48,0
326,48,48,0
327,48,48,0
328,48,48,0
329,47,48,1
330,1,48,47
331,0,41,41
332,0,6,6
333,0,5,5
334,0,4,4
335,0,5,5
336,0,4,4
337,3,6,3
338,25,28,3
339,25,28,3
340,25,28,3
341,26,28,2
342,26,28,2
343,4,28,24
344,0,35,35
345,1,16,15
346,0,6,6
347,1,7,6
348,0,7,7
349,0,7,7
350,0,4,4
351,0,4,4
352,4,9,5
353,46,48,2
354,39,48,9
355,44,48,4
356,47,48,1
357,47,48,1
358,48,48,0
359,48,48,0
360,47,48,1
361,0,48,48
362,0,29,29
363,0,6,6
364,0,7,7
365,0,14,14
366,0,6,6
367,0,4,4
368,0,6,6
369,4,20,16
370,0,22,22
371,18,19,1
372,18,19,1
373,18,19,1
374,18,19,1
375,18,19,1
376,18,19,1
377,18,19,1
378,11,19,8
379,0,19,19
380,0,14,14
381,0,10,10
382,0,5,5
383,0,3,3
384,0,1,1
385,0,5,5
386,9,24,15
387,48,48,0
388,48,48,0
389,48,48,0
390,48,48,0
391,48,48,0
392,48,48,0
393,48,48,0
394,16,48,32
395,1,48,47
396,0,40,40
397,0,21,21
398,0,10,10
399,0,5,5
400,0,3,3
401,0,1,1
402,6,7,1
403,6,7,1
404,6,7,1
405,6,7,1
406,6,7,1
407,6,7,1
408,6,7,1
409,6,7,1
410,6,7,1
411,3,7,4
412,0,18,18
413,0,6,6
414,0,4,4
415,0,1,1
416,0,3,3
417,17,19,2
418,14,19,5
419,14,19,5
420,17,19,2
421,18,19,1
422,18,19,1
423,17,19,2
424,17,19,2
425,18,19,1
426,19,19,0
427,18,19,1
428,8,19,11
429,0,39,39
430,0,8,8
431,0,4,4
432,0,2,2
433,0,3,3
434,1,6,5
435,32,32,0
436,32,32,0
437,32,32,0
438,32,32,0
439,32,32,0
440,32,32,0
441,32,32,0
442,32,32,0
443,32,32,0
444,32,32,0
445,32,32,0
446,1,32,31
447,0,32,32
448,0,5,5
449,0,1,1
450,3,5,2
451,2,5,3
452,48,48,0
453,48,48,0
454,48,48,0
455,47,48,1
456,48,48,0
457,48,48,0
458,38,48,10
459,0,48,48
460,0,35,35
461,0,7,7
462,0,9,9
463,0,2,2
464,0,3,3
465,0,2,2
466,6,7,1
467,6,7,1
468,6,7,1
469,5,7,2
470,5,7,2
471,5,7,2
472,5,7,2
473,5,7,2
474,5,7,2
475,6,7,1
476,6,7,1
477,0,7,7
478,0,1,1
479,0,2,2
480,0,4,4
481,4,13,9
482,47,48,1
483,47,48,1
484,48,48,0
485,46,48,2
486,48,48,0
487,48,48,0
488,1,48,47
489,0,44,44
490,0,13,13
491,0,6,6
492,0,4,4
493,0,4,4
494,0,1,1
495,2,4,2
496,31,31,0
497,31,31,0
498,31,31,0
499,31,31,0
500,31,31,0
501,31,31,0
502,31,31,0
503,30,31,1
504,0,31,31
505,0,6,6
506,0,2,2
507,0,2,2
508,2,10,8
509,0,9,9
510,10,17,7
511,10,17,7
512,10,17,7
513,12,17,5
514,15,17,2
515,15,17,2
516,15,17,2
517,14,17,3
518,0,17,17
519,0,8,8
520,0,6,6
521,0,3,3
522,0,3,3
523,0,2,2
524,25,25,0
525,25,25,0
526,25,25,0
527,25,25,0
528,25,25,0
529,25,25,0
530,24,25,1
531,25,25,0
532,0,25,25
533,0,5,5
534,0,6,6
535,0,6,6
536,0,2,2
537,3,7,4
538,48,48,0
539,48,48,0
540,48,48,0
541,48,48,0
542,48,48,0
543,2,48,46
544,0,41,41
545,0,13,13
546,0,4,4
547,0,4,4
548,0,43,43
549,1,7,6
550,0,5,5
551,0,2,2
552,22,22,0
553,19,22,3
554,19,22,3
555,20,22,2
556,20,22,2
557,20,22,2
558,10,22,12
559,0,28,28
560,0,6,6
561,0,1,1
562,0,4,4
563,0,7,7
564,0,4,4
565,46,46,0
566,45,46,1
567,45,46,1
568,46,46,0
569,38,46,8
570,0,46,46
571,0,15,15
572,0,4,4
573,0,7,7
574,0,10,10
575,0,4,4
576,0,2,2
577,29,29,0
578,29,29,0
579,28,29,1
580,28,29,1
581,28,29,1
582,28,29,1
583,28,29,1
584,28,29,1
585,28,29,1
586,23,29,6
587,0,29,29
588,0,1,1
589,0,1,1
590,15,19,4
591,11,19,8
592,13,19,6
593,14,19,5
594,15,19,4
595,15,19,4
596,15,19,4
597,15,19,4
598,17,19,2
599,19,19,0
600,3,19,16
601,0,27,27
602,0,3,3
603,0,1,1
604,0,2,2
605,16,20,4
606,14,20,6
607,15,20,5
608,14,20,6
609,15,20,5
610,15,20,5
611,16,20,4
612,16,20,4
613,16,20,4
614,16,20,4
615,0,20,20
616,0,15,15
617,0,1,1
618,0,2,2
619,0,2,2
620,6,20,14
621,48,48,0
622,48,48,0
623,48,48,0
624,48,48,0
625,48,48,0
626,14,48,34
627,1,42,41
628,0,28,28
629,0,11,11
630,0,6,6
631,0,2,2
632,0,1,1
633,8,9,1
634,8,9,1
635,8,9,1
636,8,9,1
637,8,9,1
638,8,9,1
639,8,9,1
640,8,9,1
641,8,9,1
