frame,points,total,diff
1,48,48,0
2,47,48,1
3,48,48,0
4,48,48,0
5,7,48,41
6,0,48,48
7,0,29,29
8,0,3,3
9,0,3,3
10,1,4,3
11,0,7,7
12,31,33,2
13,32,33,1
14,32,33,1
15,33,33,0
16,33,33,0
17,33,33,0
18,32,33,1
19,32,33,1
20,32,33,1
21,32,33,1
22,32,33,1
23,1,33,32
24,0,27,27
25,0,6,6
26,0,1,1
27,0,1,1
28,47,48,1
29,47,48,1
30,47,48,1
31,48,48,0
32,48,48,0
33,47,48,1
34,47,48,1
35,47,48,1
36,46,48,2
37,46,48,2
38,45,48,3
39,21,48,27
40,2,48,46
41,0,47,47
42,0,20,20
43,0,3,3
44,0,1,1
45,1,2,1
46,31,31,0
47,31,31,0
48,31,31,0
49,31,31,0
50,31,31,0
51,31,31,0
52,31,31,0
53,31,31,0
54,31,31,0
55,31,31,0
56,0,31,31
57,0,21,21
58,2,5,3
59,0,8,8
60,0,4,4
61,0,2,2
62,2,7,5
63,30,46,16
64,30,46,16
65,37,46,9
66,38,46,8
67,43,46,3
68,43,46,3
69,44,46,2
70,45,46,1
71,45,46,1
72,45,46,1
73,42,46,4
74,5,46,41
75,0,50,50
76,0,22,22
77,0,6,6
78,0,0,0
79,1,6,5
80,33,35,2
81,35,35,0
82,34,35,1
83,34,35,1
84,35,35,0
85,33,35,2
86,33,35,2
87,34,35,1
88,34,35,1
89,35,35,0
90,35,35,0
91,0,35,35
92,0,12,12
93,0,1,1
94,0,1,1
95,0,2,2
96,45,48,3
97,48,48,0
98,48,48,0
99,47,48,1
100,46,48,2
101,47,48,1
102,46,48,2
103,39,48,9
104,20,48,28
105,44,48,4
106,29,48,19
107,2,48,46
108,1,49,48
109,0,29,29
110,0,4,4
111,0,0,0
112,1,9,8
113,20,21,1
114,20,21,1
115,20,21,1
116,20,21,1
117,20,21,1
118,20,21,1
119,20,21,1
120,20,21,1
121,20,21,1
122,20,21,1
123,20,21,1
124,20,21,1
125,20,21,1
126,19,21,2
127,18,21,3
128,0,21,21
129,0,3,3
130,0,1,1
131,16,19,3
132,17,19,2
133,18,19,1
134,19,19,0
135,19,19,0
136,19,19,0
137,19,19,0
138,19,19,0
139,19,19,0
140,19,19,0
141,19,19,0
142,19,19,0
143,19,19,0
144,8,19,11
145,0,48,48
146,0,6,6
147,0,1,1
148,8,8,0
149,8,8,0
150,8,8,0
151,8,8,0
152,8,8,0
153,8,8,0
154,8,8,0
155,8,8,0
156,8,8,0
157,8,8,0
158,8,8,0
159,1,8,7
160,0,8,8
161,0,3,3
162,0,1,1
163,1,4,3
164,45,48,3
165,48,48,0
166,48,48,0
167,48,48,0
168,47,48,1
169,46,48,2
170,47,48,1
171,47,48,1
172,45,48,3
173,46,48,2
174,13,48,35
175,0,46,46
176,0,13,13
177,0,3,3
178,0,1,1
179,0,1,1
180,30,30,0
181,30,30,0
182,30,30,0
183,29,30,1
184,29,30,1
185,29,30,1
186,29,30,1
187,29,30,1
188,30,30,0
189,30,30,0
190,30,30,0
191,25,30,5
192,0,30,30
193,0,5,5
194,0,0,0
195,37,39,2
196,37,39,2
197,37,39,2
198,37,39,2
199,37,39,2
200,38,39,1
201,37,39,2
202,36,39,3
203,37,39,2
204,38,39,1
205,2,39,37
206,0,42,42
207,0,6,6
208,0,3,3
209,0,1,1
210,0,2,2
211,0,14,14
212,30,30,0
213,29,30,1
214,29,30,1
215,30,30,0
216,30,30,0
217,30,30,0
218,30,30,0
219,30,30,0
220,30,30,0
221,0,30,30
222,0,5,5
223,6,9,3
224,6,9,3
225,6,9,3
226,6,9,3
227,6,9,3
228,6,9,3
229,6,9,3
230,6,9,3
231,6,9,3
232,6,9,3
233,6,9,3
234,3,9,6
235,0,34,34
236,0,8,8
237,0,6,6
238,0,2,2
239,0,1,1
240,0,8,8
241,4,7,3
242,4,7,3
243,4,7,3
244,4,7,3
245,4,7,3
246,4,7,3
247,4,7,3
248,4,7,3
249,1,7,6
250,2,17,15
251,0,23,23
252,1,16,15
253,0,10,10
254,0,5,5
255,0,3,3
256,0,2,2
257,6,15,9
258,47,48,1
259,48,48,0
260,48,48,0
261,47,48,1
262,47,48,1
263,48,48,0
264,48,48,0
265,45,48,3
266,6,48,42
267,0,48,48
268,0,21,21
269,0,3,3
270,0,3,3
271,0,3,3
272,0,1,1
273,34,34,0
274,34,34,0
275,34,34,0
276,32,34,2
277,33,34,1
278,33,34,1
279,26,34,8
280,1,34,33
281,0,35,35
282,0,12,12
283,0,5,5
284,0,5,5
285,0,6,6
286,0,7,7
287,0,7,7
288,0,6,6
289,9,12,3
290,7,12,5
291,7,12,5
292,9,12,3
293,9,12,3
294,10,12,2
295,8,12,4
296,0,12,12
297,0,13,13
298,1,28,27
299,0,26,26
300,0,9,9
301,0,6,6
302,0,6,6
303,0,4,4
304,0,4,4
305,0,5,5
306,17,17,0
307,17,17,0
308,17,17,0
309,17,17,0
310,17,17,0
311,15,17,2
312,0,17,17
313,0,24,24
314,0,17,17
315,0,7,7
316,0,7,7
317,0,5,5
318,0,7,7
319,0,6,6
320,0,7,7
321,0,7,7
322,16,38,22
323,47,48,1
324,46,48,2
325,38,48,10
326,30,48,18
327,22,48,26
328,48,48,0
329,22,48,26
330,0,48,48
331,0,41,41
332,0,6,6
333,0,5,5
334,0,4,4
335,0,5,5
336,0,4,4
